timestamp,metric,unit,facility_code,unit_code,fueltech_group,network_region,value
2025-12-03T19:00:00+10:00,power,MW,power_HAYMSF1,HAYMSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_HD1WF1,HD1WF1,,,719.38
2025-12-03T19:00:00+10:00,power,MW,power_HEZ1,HEZ1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_HUMEV,HUMEV,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_JUNEESF1,JUNEESF1,,,1.627
2025-12-03T19:00:00+10:00,power,MW,power_LKBONNY1,LKBONNY1,,,488.7012
2025-12-03T19:00:00+10:00,power,MW,power_MLSP1,MLSP1,,,0.272
2025-12-03T19:00:00+10:00,power,MW,power_MOREESF1,MOREESF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_RRSF1,RRSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_SUNRSF1,SUNRSF1,,,66.1388
2025-12-03T19:00:00+10:00,power,MW,power_VP5,VP5,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_VP6,VP6,,,15100.412
2025-12-03T19:00:00+10:00,power,MW,power_WANDB1,WANDB1,,,1094.9616
2025-12-03T19:00:00+10:00,power,MW,power_WANDBG1,WANDBG1,,,1094.9616
2025-12-03T19:00:00+10:00,power,MW,power_WYASF1,WYASF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_YABULU,YABULU,,,3739.4338
2025-12-03T19:00:00+10:00,power,MW,power_YABULU2,YABULU2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_YATSF1,YATSF1,,,35.54
2025-12-03T19:00:00+10:00,emissions,t,emissions_ARWF1,ARWF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BARCSF1,BARCSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BARRON-1,BARRON-1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BARRON-2,BARRON-2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_CROOKWF2,CROOKWF2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_GNNDHSF1,GNNDHSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HAYMSF1,HAYMSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HD1WF1,HD1WF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HEZ1,HEZ1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_HUMEV,HUMEV,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_JUNEESF1,JUNEESF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_LKBONNY1,LKBONNY1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_MLSP1,MLSP1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_MOREESF1,MOREESF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_RRSF1,RRSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_SUNRSF1,SUNRSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_VP5,VP5,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_VP6,VP6,,,1151.9471
2025-12-03T19:00:00+10:00,emissions,t,emissions_WANDB1,WANDB1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WANDBG1,WANDBG1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WYASF1,WYASF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_YABULU,YABULU,,,141.3038
2025-12-03T19:00:00+10:00,emissions,t,emissions_YABULU2,YABULU2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_YATSF1,YATSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BRAEMAR1,BRAEMAR1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BRAEMAR2,BRAEMAR2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BRAEMAR3,BRAEMAR3,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BROKENH1,BROKENH1,,,6.2
2025-12-03T19:00:00+10:00,power,MW,power_COHUNSF1,COHUNSF1,,,4.68
2025-12-03T19:00:00+10:00,power,MW,power_DDPS1,DDPS1,,,5044.4902
2025-12-03T19:00:00+10:00,power,MW,power_DPNTB1,DPNTB1,,,392.7954
2025-12-03T19:00:00+10:00,power,MW,power_DPNTBG1,DPNTBG1,,,393.6896
2025-12-03T19:00:00+10:00,power,MW,power_DPNTBL1,DPNTBL1,,,0.8942
2025-12-03T19:00:00+10:00,power,MW,power_DULAWF1,DULAWF1,,,3.2
2025-12-03T19:00:00+10:00,power,MW,power_EDENVSF1,EDENVSF1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_FINLYSF1,FINLYSF1,,,25.9648
2025-12-03T19:00:00+10:00,power,MW,power_GLRWNSF1,GLRWNSF1,,,24.08
2025-12-03T19:00:00+10:00,power,MW,power_JLA01,JLA01,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_JLA02,JLA02,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_JLA03,JLA03,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_JLA04,JLA04,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_MANSLR1,MANSLR1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_RIVNB2,RIVNB2,,,1066.6394
2025-12-03T19:00:00+10:00,power,MW,power_RIVNBG2,RIVNBG2,,,1067.761
2025-12-03T19:00:00+10:00,power,MW,power_RIVNBL2,RIVNBL2,,,1.1216
2025-12-03T19:00:00+10:00,power,MW,power_ROWALLAN,ROWALLAN,,,-0.1142
2025-12-03T19:00:00+10:00,power,MW,power_SNOWSTH1,SNOWSTH1,,,88.8
2025-12-03T19:00:00+10:00,power,MW,power_SWAN_E,SWAN_E,,,-13.92
